date,aqi,pm25,pm10,no2,so2,co,o3,city
2018-01-01,93.0,51.15,100.44,77.19,106.02,0.98,88.35,Chennai
2018-01-02,134.0,73.7,144.72,111.22,152.76,1.41,127.3,Chennai
2018-01-03,142.0,78.1,153.36,117.86,161.88,1.49,134.9,Chennai
2018-01-04,84.0,46.2,90.72,69.72,95.76,0.88,79.8,Chennai
2018-01-05,118.0,64.9,127.44,97.94,134.52,1.24,112.1,Chennai
2018-01-06,108.0,59.4,116.64,89.64,123.12,1.13,102.6,Chennai
2018-01-07,150.0,82.5,162.0,124.5,171.0,1.58,142.5,Chennai
2018-01-08,114.0,62.7,123.12,94.62,129.96,1.2,108.3,Chennai
2018-01-09,62.0,34.1,66.96,51.46,70.68,0.65,58.9,Chennai
2018-01-10,62.0,34.1,66.96,51.46,70.68,0.65,58.9,Chennai
2018-01-11,48.0,26.4,51.84,39.84,54.72,0.5,45.6,Chennai
2018-01-12,98.0,53.9,105.84,81.34,111.72,1.03,93.1,Chennai
2018-01-13,217.0,119.35,234.36,180.11,247.38,2.28,206.15,Chennai
2018-01-14,154.0,84.7,166.32,127.82,175.56,1.62,146.3,Chennai
2018-01-15,135.0,74.25,145.8,112.05,153.9,1.42,128.25,Chennai
2018-01-16,135.0,74.25,145.8,112.05,153.9,1.42,128.25,Chennai
2018-01-17,161.0,88.55,173.88,133.63,183.54,1.69,152.95,Chennai
2018-01-18,110.0,60.5,118.8,91.3,125.4,1.16,104.5,Chennai
2018-01-19,143.0,78.65,154.44,118.69,163.02,1.5,135.85,Chennai
2018-01-20,129.0,70.95,139.32,107.07,147.06,1.35,122.55,Chennai
2018-01-21,166.0,91.3,179.28,137.78,189.24,1.74,157.7,Chennai
2018-01-22,150.0,82.5,162.0,124.5,171.0,1.58,142.5,Chennai
2018-01-23,139.0,76.45,150.12,115.37,158.46,1.46,132.05,Chennai
2018-01-24,130.0,71.5,140.4,107.9,148.2,1.37,123.5,Chennai
2018-01-25,176.0,96.8,190.08,146.08,200.64,1.85,167.2,Chennai
2018-01-26,158.0,86.9,170.64,131.14,180.12,1.66,150.1,Chennai
2018-01-27,165.0,90.75,178.2,136.95,188.1,1.73,156.75,Chennai
2018-01-28,154.0,84.7,166.32,127.82,175.56,1.62,146.3,Chennai
2018-01-29,145.0,79.75,156.6,120.35,165.3,1.52,137.75,Chennai
2018-01-30,128.0,70.4,138.24,106.24,145.92,1.34,121.6,Chennai
2018-01-31,150.0,82.5,162.0,124.5,171.0,1.58,142.5,Chennai
2018-02-01,100.0,55.0,108.0,83.0,114.0,1.05,95.0,Chennai
2018-02-02,162.0,89.1,174.96,134.46,184.68,1.7,153.9,Chennai
2018-02-03,107.0,58.85,115.56,88.81,121.98,1.12,101.65,Chennai
2018-02-04,67.0,36.85,72.36,55.61,76.38,0.7,63.65,Chennai
2018-02-05,132.0,72.6,142.56,109.56,150.48,1.39,125.4,Chennai
2018-02-06,132.0,72.6,142.56,109.56,150.48,1.39,125.4,Chennai
2018-02-07,148.0,81.4,159.84,122.84,168.72,1.55,140.6,Chennai
2018-02-08,86.0,47.3,92.88,71.38,98.04,0.9,81.7,Chennai
2018-02-09,83.0,45.65,89.64,68.89,94.62,0.87,78.85,Chennai
2018-02-10,63.0,34.65,68.04,52.29,71.82,0.66,59.85,Chennai
2018-02-11,75.0,41.25,81.0,62.25,85.5,0.79,71.25,Chennai
2018-02-12,56.0,30.8,60.48,46.48,63.84,0.59,53.2,Chennai
2018-02-13,136.0,74.8,146.88,112.88,155.04,1.43,129.2,Chennai
2018-02-14,124.0,68.2,133.92,102.92,141.36,1.3,117.8,Chennai
2018-02-15,104.0,57.2,112.32,86.32,118.56,1.09,98.8,Chennai
2018-02-16,120.0,66.0,129.6,99.6,136.8,1.26,114.0,Chennai
2018-02-17,105.0,57.75,113.4,87.15,119.7,1.1,99.75,Chennai
2018-02-18,131.0,72.05,141.48,108.73,149.34,1.38,124.45,Chennai
2018-02-19,150.0,82.5,162.0,124.5,171.0,1.58,142.5,Chennai
2018-02-20,116.0,63.8,125.28,96.28,132.24,1.22,110.2,Chennai
2018-02-21,160.0,88.0,172.8,132.8,182.4,1.68,152.0,Chennai
2018-02-22,119.0,65.45,128.52,98.77,135.66,1.25,113.05,Chennai
2018-02-23,94.0,51.7,101.52,78.02,107.16,0.99,89.3,Chennai
2018-02-24,87.0,47.85,93.96,72.21,99.18,0.91,82.65,Chennai
2018-02-25,58.0,31.9,62.64,48.14,66.12,0.61,55.1,Chennai
2018-02-26,79.0,43.45,85.32,65.57,90.06,0.83,75.05,Chennai
2018-02-27,117.0,64.35,126.36,97.11,133.38,1.23,111.15,Chennai
2018-02-28,164.0,90.2,177.12,136.12,186.96,1.72,155.8,Chennai
2018-03-01,81.0,44.55,87.48,67.23,92.34,0.85,76.95,Chennai
2018-03-02,146.0,80.3,157.68,121.18,166.44,1.53,138.7,Chennai
2018-03-03,104.0,57.2,112.32,86.32,118.56,1.09,98.8,Chennai
2018-03-04,62.0,34.1,66.96,51.46,70.68,0.65,58.9,Chennai
2018-03-05,119.0,65.45,128.52,98.77,135.66,1.25,113.05,Chennai
2018-03-06,86.0,47.3,92.88,71.38,98.04,0.9,81.7,Chennai
2018-03-07,164.0,90.2,177.12,136.12,186.96,1.72,155.8,Chennai
2018-03-08,86.0,47.3,92.88,71.38,98.04,0.9,81.7,Chennai
2018-03-09,68.0,37.4,73.44,56.44,77.52,0.71,64.6,Chennai
2018-03-10,47.0,25.85,50.76,39.01,53.58,0.49,44.65,Chennai
2018-03-11,45.0,24.75,48.6,37.35,51.3,0.47,42.75,Chennai
2018-03-12,56.0,30.8,60.48,46.48,63.84,0.59,53.2,Chennai
