date,aqi,pm25,pm10,no2,so2,co,o3,city,dayofweek,is_weekend,day,month,month_sin,month_cos,pm25_lag_1,pm25_lag_2,pm25_lag_3,pm25_lag_7,pm25_lag_14,pm25_lag_21,pm25_lag_28,pm25_roll_3_mean,pm25_roll_7_mean,pm25_roll_14_mean,pm25_roll_7_std,pm25_diff_1,sin_1,cos_1,sin_2,cos_2,sin_3,cos_3,target_t+1
2018-01-29,145.0,79.75,156.6,120.35,165.3,1.52,137.75,Chennai,0,0,29,1,0.49999999999999994,0.8660254037844387,84.7,90.75,86.9,82.5,74.25,62.7,51.15,87.45,84.22857142857143,80.57500000000002,8.499404741061616,-4.950000000000003,0.4632579225674917,0.88622350294858,0.8211001178128892,0.5707841943569036,0.992098522791769,0.12546123335273648,70.4
2018-01-30,128.0,70.4,138.24,106.24,145.92,1.34,121.6,Chennai,1,0,30,1,0.49999999999999994,0.8660254037844387,79.75,84.7,90.75,76.45,74.25,34.1,73.7,85.06666666666666,83.83571428571429,80.96785714285716,8.654753717163858,-9.349999999999994,0.4784338202547012,0.8781236129591848,0.8402480696078469,0.5422021592729844,0.9972495210773451,0.07411742515094437,82.5
2018-01-31,150.0,82.5,162.0,124.5,171.0,1.58,142.5,Chennai,2,0,31,1,0.49999999999999994,0.8660254037844387,70.4,79.75,84.7,71.5,88.55,34.1,78.1,78.28333333333335,82.97142857142856,80.69285714285715,9.748241599679092,12.099999999999994,0.49346814167723735,0.8697638720650646,0.8584015232918917,0.512978386299228,0.9997451236925734,0.022576263041545485,55.0
2018-02-01,100.0,55.0,108.0,83.0,114.0,1.05,95.0,Chennai,3,0,1,2,0.8660254037844386,0.5000000000000001,82.5,70.4,79.75,96.8,60.5,26.4,46.2,77.55000000000001,84.54285714285713,80.26071428571429,8.381648036604943,-27.5,0.5083564379375122,0.8611467540480452,0.8755389928586302,0.4831474640149687,0.9995786855478958,-0.029025013321975237,89.1
2018-02-02,162.0,89.1,174.96,134.46,184.68,1.7,153.9,Chennai,4,0,2,2,0.8660254037844386,0.5000000000000001,55.0,82.5,70.4,86.9,78.65,53.9,64.9,69.30000000000001,78.57142857142857,79.86785714285715,12.20962247378602,34.099999999999994,0.5230943033491326,0.8522748088519838,0.8916401947968874,0.45274469960737107,0.9967506498213929,-0.08054900421874167,58.85
2018-02-03,107.0,58.85,115.56,88.81,121.98,1.12,101.65,Chennai,5,1,3,2,0.8660254037844386,0.5000000000000001,89.1,55.0,82.5,90.75,70.95,119.35,59.4,75.53333333333332,78.88571428571429,80.61428571428573,12.484948080445838,-30.249999999999993,0.5376773767406141,0.8431506618282,0.9066860720977985,0.4218060770826634,0.9912685467787256,-0.13185851571739118,36.85
2018-02-04,67.0,36.85,72.36,55.61,76.38,0.7,63.65,Chennai,6,1,4,2,0.8660254037844386,0.5000000000000001,58.85,89.1,55.0,84.7,91.3,84.7,82.5,67.64999999999999,74.32857142857144,79.75,13.232153299912323,-22.0,0.5521013427459208,0.8337770129585915,0.9206588168102428,0.3903682146763026,0.9831469737221499,-0.1828169249850199,72.6
2018-02-05,132.0,72.6,142.56,109.56,150.48,1.39,125.4,Chennai,0,0,5,2,0.8660254037844386,0.5000000000000001,36.85,58.85,89.1,79.75,82.5,74.25,62.7,61.599999999999994,67.49285714285715,75.86071428571428,18.3508725626201,35.74999999999999,0.5663619330814524,0.8241566360566663,0.9335418911179212,0.35846832151248087,0.9724075561219968,-0.23328854407545518,72.6
2018-02-06,132.0,72.6,142.56,109.56,150.48,1.39,125.4,Chennai,1,0,6,2,0.8660254037844386,0.5000000000000001,72.6,36.85,58.85,70.4,76.45,74.25,34.1,56.1,66.47142857142858,75.15357142857144,17.74386882707321,0.0,0.580454927809098,0.8142923779467267,0.945320046913132,0.3261441535642696,0.9590788900341131,-0.28313898122818354,81.4
2018-02-07,148.0,81.4,159.84,122.84,168.72,1.55,140.6,Chennai,2,0,7,2,0.8660254037844386,0.5000000000000001,72.6,72.6,36.85,82.5,71.5,88.55,34.1,60.68333333333334,66.78571428571429,74.87857142857142,17.844250107661047,8.800000000000011,0.5943761565849831,0.804187157621448,0.9559793438440766,0.2934339689665273,0.9431964659565866,-0.33223549871590435,47.3
